County,Population,No Education,High School Education,GED education,Associate Education,Bachelor Education,Masters Education,Professional Education,Doctorate Education,College,College Rate
Alameda,1515136.0,21320.0,183121.0,16511.0,69629.0,249246.0,116816.0,27561.0,27987.0,491239.0,32.42210600236547
Alpine,1197.0,0.0,153.0,58.0,49.0,142.0,76.0,14.0,22.0,303.0,25.31328320802005
Amador,37764.0,198.0,7117.0,938.0,2802.0,4042.0,825.0,417.0,138.0,8224.0,21.77735409384599
Butte,220101.0,2273.0,27686.0,4560.0,12955.0,22359.0,7246.0,2598.0,1585.0,46743.0,21.23706843676312
Calaveras,45507.0,87.0,8778.0,1186.0,3234.0,4988.0,1373.0,513.0,142.0,10250.0,22.5240072955809
Colusa,21329.0,268.0,2817.0,388.0,1181.0,1430.0,231.0,77.0,24.0,2943.0,13.798115242158563
Contra Costa,1052047.0,9480.0,122120.0,13334.0,57478.0,173014.0,64802.0,21327.0,13043.0,329664.0,31.335482160017566
Del Norte,28496.0,282.0,4801.0,1080.0,1319.0,1864.0,510.0,141.0,212.0,4046.0,14.19848399775407
El Dorado,180441.0,689.0,25197.0,3038.0,12771.0,26975.0,8419.0,2869.0,1287.0,52321.0,28.996181577357696
Fresno,930517.0,24671.0,108324.0,15281.0,42060.0,71394.0,21783.0,9196.0,3569.0,148002.0,15.90535154113251
Glenn,28078.0,623.0,3821.0,690.0,1129.0,1931.0,508.0,217.0,56.0,3841.0,13.679749269891017
Humboldt,134317.0,419.0,20433.0,2808.0,8021.0,15839.0,5233.0,1458.0,1287.0,31838.0,23.70362649552923
Imperial,173487.0,4425.0,19162.0,3256.0,6501.0,9309.0,3221.0,878.0,261.0,20170.0,11.626231360274833
Inyo,18474.0,159.0,3795.0,356.0,1037.0,1738.0,780.0,221.0,65.0,3841.0,20.79138248349031
Kern,839153.0,14521.0,110349.0,17840.0,34648.0,48758.0,16911.0,5069.0,2430.0,107816.0,12.848193356872942
Kings,151982.0,2886.0,19801.0,4184.0,7154.0,8459.0,2123.0,699.0,140.0,18575.0,12.221842060243976
Lake,64360.0,512.0,11463.0,1838.0,4344.0,5524.0,1566.0,390.0,211.0,12035.0,18.69950279676818
Lassen,34628.0,241.0,4168.0,2039.0,2637.0,2320.0,657.0,295.0,83.0,5992.0,17.303915906203073
Los Angeles,9840024.0,192589.0,1200170.0,104603.0,435934.0,1228908.0,418357.0,153053.0,79355.0,2315607.0,23.53253406699008
Madera,150615.0,4022.0,18523.0,2894.0,6998.0,9116.0,2479.0,873.0,379.0,19845.0,13.175978488198387
Marin,252759.0,1443.0,19766.0,2745.0,11487.0,58767.0,26266.0,11411.0,5040.0,112971.0,44.695144386550034
Mariposa,18193.0,24.0,3654.0,510.0,1264.0,1961.0,532.0,193.0,91.0,4041.0,22.211839718573078
Mendocino,87577.0,846.0,13984.0,1981.0,5645.0,7952.0,3526.0,1188.0,385.0,18696.0,21.348070840517487
Merced,256398.0,6841.0,30273.0,5266.0,10181.0,12085.0,3754.0,1961.0,401.0,28382.0,11.069509122536058
Modoc,9545.0,63.0,1643.0,155.0,631.0,903.0,245.0,106.0,72.0,1957.0,20.502881089575695
Mono,14181.0,108.0,1788.0,373.0,936.0,2001.0,647.0,151.0,18.0,3753.0,26.46498836471335
Monterey,416199.0,8949.0,43693.0,8313.0,18789.0,36833.0,15155.0,4482.0,3392.0,78651.0,18.897450498439447
Napa,136644.0,1484.0,16011.0,1969.0,8255.0,19110.0,6365.0,2503.0,1056.0,37289.0,27.289160153391293
Nevada,98521.0,286.0,14148.0,1766.0,7515.0,15768.0,5335.0,1849.0,891.0,31358.0,31.828747170653973
Orange,3021840.0,40718.0,323655.0,31288.0,153953.0,472441.0,168387.0,53938.0,29212.0,877931.0,29.052861832525878
Placer,350074.0,1333.0,42852.0,5009.0,26113.0,56361.0,18089.0,5541.0,2547.0,108651.0,31.03658083719442
Plumas,19926.0,117.0,3182.0,441.0,1708.0,2123.0,979.0,139.0,198.0,5147.0,25.83057312054602
Riverside,2192982.0,27943.0,300963.0,37965.0,101472.0,178679.0,67662.0,18309.0,11101.0,377223.0,17.201372377885455
Sacramento,1422348.0,23003.0,171767.0,26449.0,85207.0,172480.0,54086.0,19794.0,9260.0,340827.0,23.962279273426756
San Benito,55467.0,1075.0,6914.0,1039.0,2690.0,4685.0,1084.0,403.0,120.0,8982.0,16.193412299204933
San Bernardino,2041029.0,28061.0,281168.0,35686.0,98093.0,147554.0,55110.0,14504.0,8654.0,323915.0,15.870181168420439
San Diego,3100500.0,34114.0,339413.0,42695.0,180134.0,430264.0,168867.0,52316.0,40544.0,872125.0,28.128527656829544
San Francisco,807755.0,15790.0,76800.0,8828.0,33912.0,198019.0,80683.0,30763.0,15241.0,358618.0,44.39687776615434
San Joaquin,687036.0,15403.0,91172.0,15034.0,35515.0,51142.0,14862.0,5391.0,2810.0,109720.0,15.970051059915347
San Luis Obispo,270121.0,1984.0,33142.0,4673.0,17257.0,34965.0,13802.0,4423.0,3147.0,73594.0,27.2448273181278
San Mateo,721183.0,8011.0,78690.0,7569.0,38661.0,135711.0,55332.0,17241.0,14075.0,261020.0,36.19331015844799
Santa Barbara,423594.0,5873.0,40390.0,6156.0,21500.0,48443.0,21108.0,6557.0,6322.0,103930.0,24.535286146640416
Santa Clara,1788393.0,23242.0,169305.0,19342.0,87520.0,309774.0,172758.0,31646.0,38474.0,640172.0,35.79593523347497
Santa Cruz,262340.0,2545.0,23347.0,3640.0,14126.0,39033.0,16327.0,4287.0,3909.0,77682.0,29.611191583441336
Shasta,177693.0,963.0,27386.0,4265.0,13449.0,15894.0,5039.0,1790.0,742.0,36914.0,20.774031616327036
Sierra,3163.0,16.0,746.0,103.0,238.0,273.0,124.0,15.0,0.0,650.0,20.550110654441987
Siskiyou,44673.0,167.0,7546.0,1069.0,2907.0,4974.0,1671.0,555.0,232.0,10339.0,23.14373335124124
Solano,414209.0,4004.0,56534.0,8793.0,26952.0,46392.0,13380.0,4258.0,1892.0,92874.0,22.422014007421375
Sonoma,483456.0,4871.0,58850.0,8013.0,29250.0,68323.0,25179.0,8782.0,3919.0,135453.0,28.017647934868943
Stanislaus,515115.0,9195.0,74858.0,11968.0,22707.0,34234.0,10996.0,4389.0,1488.0,73814.0,14.329615716878756
Sutter,94615.0,1832.0,12110.0,1802.0,6125.0,7975.0,1948.0,774.0,243.0,17065.0,18.03625217988691
Tehama,63200.0,651.0,10450.0,1377.0,3137.0,3890.0,1008.0,463.0,137.0,8635.0,13.662974683544304
Trinity,13693.0,25.0,2250.0,535.0,951.0,1482.0,399.0,87.0,61.0,2980.0,21.76294457021836
Tulare,441877.0,11603.0,52703.0,6950.0,19691.0,22355.0,7059.0,2951.0,1004.0,53060.0,12.007866442471547
Tuolumne,55205.0,198.0,10362.0,1719.0,3952.0,4675.0,1742.0,433.0,335.0,11137.0,20.173897291911963
Ventura,822794.0,9888.0,90455.0,9873.0,44587.0,104852.0,41320.0,12367.0,6769.0,209895.0,25.51003045719828
Yolo,200873.0,2591.0,18988.0,2900.0,8691.0,23575.0,10469.0,4604.0,5581.0,52920.0,26.34500405728993
Yuba,72244.0,956.0,8498.0,2163.0,4427.0,4266.0,1176.0,404.0,125.0,10398.0,14.39289075909418
