County,Household Income 2011,Population 2011,Median Age 2011,Per Capita Income 2011,Poverty Count 2011,Employed Persons Over 16 2011,Unemployed Persons Over 16 2011,Household Income 2016,Population 2016,Median Age 2016,Per Capita Income 2016,Poverty Count 2016,Employed Persons Over 16 2016,Unemployed Persons Over 16 2016,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16",Obesity 2011 %,Obesity 2016 %,New Diabetes per 1k : 2011,New Diabetes per 1k : 2016,Diagnosed Diabetes 2011 %,Diagnosed Diabetes 2016 %,Population 2012,No Education 2012,High School Education 2012,GED education 2012,Associate Education 2012,Bachelor Education 2012,Masters Education 2012,Professional Education 2012,Doctorate Education 2012,College 2012,College Rate 2012,No Education 2016,High School Education 2016,GED education 2016,Associate Education 2016,Bachelor Education 2016,Masters Education 2016,Professional Education 2016,Doctorate Education 2016,College 2016,College Rate 2016
Humboldt,40376.0,133585.0,37.3,24209.0,23833.0,66048.0,44019.0,42685.0,135182.0,37.6,24038.0,27641.0,65953.0,45807.0,95,97,2.105263,7.0246,7.108879999999999,1.199816,25.4,28.9,8.1,7.1,7.8,7.9,134317.0,419.0,20433.0,2808.0,8021.0,15839.0,5233.0,1458.0,1287.0,31838.0,23.70362649552923,742.0,19343.0,3143.0,8182.0,17031.0,5389.0,1872.0,1366.0,33840.0,25.03291858383513
Imperial,39402.0,171343.0,31.8,16593.0,37463.0,69690.0,57347.0,42560.0,178807.0,32.2,16311.0,40552.0,71026.0,62144.0,81,103,27.160494,4.59817,5.6912400000000005,23.771749,21.9,34.6,8.2,8.2,8.0,9.0,173487.0,4425.0,19162.0,3256.0,6501.0,9309.0,3221.0,878.0,261.0,20170.0,11.626231360274833,4316.0,20118.0,4086.0,7027.0,10576.0,3627.0,680.0,146.0,22056.0,12.335087552500742
Inyo,49571.0,18457.0,45.1,27532.0,2127.0,9401.0,5612.0,47278.0,18326.0,45.4,28678.0,1905.0,8871.0,6133.0,13,15,15.384615,7.0648300000000015,8.31762,17.732744,22.5,27.4,8.4,6.1,8.0,6.9,18474.0,159.0,3795.0,356.0,1037.0,1738.0,780.0,221.0,65.0,3841.0,20.79138248349031,277.0,3829.0,302.0,1024.0,1991.0,973.0,129.0,148.0,4265.0,23.272945541853105
Kern,48021.0,829254.0,30.6,20167.0,169635.0,360445.0,246501.0,49788.0,871337.0,31.2,21094.0,194354.0,377008.0,265166.0,528,603,14.204545000000001,6.220790000000001,6.812899999999999,9.518227,27.7,32.2,10.0,8.9,9.3,9.5,839153.0,14521.0,110349.0,17840.0,34648.0,48758.0,16911.0,5069.0,2430.0,107816.0,12.848193356872942,16114.0,120917.0,20291.0,37205.0,54412.0,18553.0,5182.0,3122.0,118474.0,13.59680582828458
Kings,48838.0,152335.0,31.0,18296.0,26042.0,65763.0,48917.0,47241.0,150261.0,31.4,19123.0,28661.0,63131.0,49890.0,90,89,-1.111111,5.919879999999999,5.94137,0.36301,23.6,29.4,9.8,10.8,9.4,11.1,151982.0,2886.0,19801.0,4184.0,7154.0,8459.0,2123.0,699.0,140.0,18575.0,12.221842060243974,2232.0,20156.0,4094.0,7085.0,8378.0,2128.0,969.0,268.0,18828.0,12.53019745642582
Lake,39525.0,64392.0,44.3,22238.0,13543.0,28321.0,23876.0,36132.0,64076.0,45.8,21799.0,15561.0,25986.0,26554.0,30,33,10.0,4.6675900000000015,5.16028,10.555589999999999,25.9,24.5,8.9,9.2,8.5,9.8,64360.0,512.0,11463.0,1838.0,4344.0,5524.0,1566.0,390.0,211.0,12035.0,18.69950279676818,655.0,10868.0,1993.0,5695.0,4821.0,1810.0,528.0,309.0,13163.0,20.542792933391603
Lassen,52484.0,35001.0,37.0,19339.0,3562.0,11635.0,17976.0,51457.0,31945.0,36.4,20072.0,3558.0,10030.0,17162.0,13,15,15.384615,3.79629,4.84747,27.689721999999996,23.8,40.9,8.9,23.4,8.4,19.4,34628.0,241.0,4168.0,2039.0,2637.0,2320.0,657.0,295.0,83.0,5992.0,17.303915906203073,133.0,4981.0,2069.0,2162.0,1749.0,728.0,281.0,103.0,5023.0,15.72390045390515
Los Angeles,56266.0,9787747.0,34.6,27954.0,1566066.0,4996242.0,2667242.0,57952.0,10057155.0,35.8,29301.0,1764081.0,5173061.0,2863016.0,7211,8264,14.602689999999999,7.29415,8.14142,11.615733,21.1,21.4,7.7,6.9,8.1,8.1,9840024.0,192589.0,1200170.0,104603.0,435934.0,1228908.0,418357.0,153053.0,79355.0,2315607.0,23.53253406699008,224593.0,1273072.0,114908.0,462091.0,1348250.0,474729.0,155849.0,86083.0,2527002.0,25.12641000362429
Madera,47724.0,149611.0,33.2,18817.0,27777.0,59555.0,52459.0,45742.0,153366.0,33.5,19021.0,32043.0,59414.0,56066.0,75,78,4.0,4.93824,5.03336,1.9262549999999998,27.4,35.8,9.0,11.6,8.7,11.6,150615.0,4022.0,18523.0,2894.0,6998.0,9116.0,2479.0,873.0,379.0,19845.0,13.175978488198387,3875.0,21180.0,3469.0,7520.0,8636.0,2558.0,784.0,518.0,20016.0,13.051132584797154
Marin,89605.0,250666.0,44.3,54605.0,17502.0,133482.0,71192.0,100310.0,259358.0,45.7,63608.0,20445.0,137609.0,74106.0,171,189,10.526316,6.69263,7.22665,7.979239,15.3,15.7,5.3,2.9,5.4,3.8,252759.0,1443.0,19766.0,2745.0,11487.0,58767.0,26266.0,11411.0,5040.0,112971.0,44.695144386550034,1896.0,18946.0,2426.0,11753.0,61100.0,28898.0,12285.0,6010.0,120046.0,46.285828854324905
