County,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/1,000 pop, 2011","Fast-food restaurants/1,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16","Full-service restaurants, 2011","Full-service restaurants, 2016","Full-service restaurants (% change), 2011-16","Full-service restaurants/1,000 pop, 2011","Full-service restaurants/1,000 pop, 2016","Full-service restaurants/1,000 pop (% change), 2011-16","Expenditures per capita, fast food, 2007*","Expenditures per capita, fast food, 2012*","Expenditures per capita, restaurants, 2007*","Expenditures per capita, restaurants, 2012*"
San Luis Obispo,219,234,6.849315,0.807671,0.828958,2.635633,312,340,8.974359,1.150655,1.204469,4.676874,761.447125,642.487457,755.587505,750.318646
San Mateo,501,593,18.363273,0.687222,0.770569,12.128123,742,828,11.590296,1.017802,1.075938,5.711933,761.447125,642.487457,755.587505,750.318646
Santa Barbara,286,344,20.27972,0.67127,0.770789,14.825446,388,408,5.154639,0.910674,0.914191,0.386235,761.447125,642.487457,755.587505,750.318646
Santa Clara,1288,1544,19.875776,0.710107,0.799348,12.567269,1555,1712,10.096463,0.85731,0.886323,3.384174,761.447125,642.487457,755.587505,750.318646
Santa Cruz,171,175,2.339181,0.645032,0.63591,-1.414178,242,278,14.876033,0.912853,1.010189,10.662877,761.447125,642.487457,755.587505,750.318646
Shasta,133,122,-8.270677,0.748895,0.682426,-8.875624,112,118,5.357143,0.630648,0.660051,4.662321,761.447125,642.487457,755.587505,750.318646
Sierra,1,1,0,0.322581,0.337382,4.588394,2,4,100,0.645161,1.349528,109.176788,761.447125,642.487457,755.587505,750.318646
Siskiyou,29,28,-3.448276,0.65002,0.643515,-1.000698,50,45,-10,1.120724,1.034221,-7.718508,761.447125,642.487457,755.587505,750.318646
Solano,270,290,7.407407,0.648023,0.658615,1.634526,243,265,9.053498,0.583221,0.601838,3.192143,761.447125,642.487457,755.587505,750.318646
Sonoma,273,291,6.593407,0.55963,0.577572,3.20604,488,523,7.172131,1.000365,1.038042,3.766374,761.447125,642.487457,755.587505,750.318646
Stanislaus,327,366,11.926606,0.631233,0.676084,7.105322,255,293,14.901961,0.492246,0.541236,9.952512,761.447125,642.487457,755.587505,750.318646
Sutter,51,59,15.686275,0.53934,0.614212,13.882177,51,54,5.882353,0.53934,0.56216,4.231145,761.447125,642.487457,755.587505,750.318646
Tehama,34,33,-2.941176,0.536726,0.520144,-3.08957,31,40,29.032258,0.489368,0.630477,28.83498,761.447125,642.487457,755.587505,750.318646
Trinity,12,6,-50,0.877385,0.467326,-46.736506,9,13,44.444444,0.658039,1.01254,53.872316,761.447125,642.487457,755.587505,750.318646
Tulare,215,264,22.790698,0.480599,0.572873,19.199716,210,212,0.952381,0.469423,0.460035,-1.999945,761.447125,642.487457,755.587505,750.318646
Tuolumne,31,26,-16.129032,0.565363,0.483388,-14.499546,69,56,-18.84058,1.258389,1.041144,-17.263775,761.447125,642.487457,755.587505,750.318646
Ventura,553,634,14.647378,0.665471,0.744922,11.938988,552,595,7.789855,0.664268,0.699099,5.243465,761.447125,642.487457,755.587505,750.318646
Yolo,138,152,10.144928,0.682891,0.703837,3.067282,124,144,16.129032,0.613612,0.666793,8.666863,761.447125,642.487457,755.587505,750.318646
Yuba,31,29,-6.451613,0.427521,0.385715,-9.778718,23,27,17.391304,0.317193,0.359114,13.216212,761.447125,642.487457,755.587505,750.318646
