FIPS,County,Population
6001,Alameda,1605217.0
6003,Alpine,1184.0
6005,Amador,36963.0
6007,Butte,223877.0
6009,Calaveras,44787.0
6011,Colusa,21361.0
6013,Contra Costa,1107925.0
6015,Del Norte,27628.0
6017,El Dorado,183000.0
6019,Fresno,963160.0
6021,Glenn,27976.0
6023,Humboldt,135182.0
6025,Imperial,178807.0
6027,Inyo,18326.0
6029,Kern,871337.0
6031,Kings,150261.0
6033,Lake,64076.0
6035,Lassen,31945.0
6037,Los Angeles,10057155.0
6039,Madera,153366.0
6041,Marin,259358.0
6043,Mariposa,17645.0
6045,Mendocino,87409.0
6047,Merced,265001.0
6049,Modoc,9033.0
6051,Mono,14051.0
6053,Monterey,430201.0
6055,Napa,140823.0
6057,Nevada,98639.0
6059,Orange,3132211.0
6061,Placer,370571.0
6063,Plumas,18754.0
6065,Riverside,2323892.0
6067,Sacramento,1479300.0
6069,San Benito,58051.0
6071,San Bernardino,2106754.0
6073,San Diego,3253356.0
6075,San Francisco,850282.0
6077,San Joaquin,714860.0
6079,San Luis Obispo,278680.0
6081,San Mateo,754748.0
6083,Santa Barbara,439395.0
6085,Santa Clara,1885056.0
6087,Santa Cruz,270931.0
6089,Shasta,179228.0
6091,Sierra,2931.0
6093,Siskiyou,43668.0
6095,Solano,429596.0
6097,Sonoma,497776.0
6099,Stanislaus,530561.0
6101,Sutter,95406.0
6103,Tehama,63015.0
6105,Trinity,13180.0
6107,Tulare,455769.0
6109,Tuolumne,53864.0
6111,Ventura,843110.0
6113,Yolo,209671.0
6115,Yuba,73897.0
