County,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Employed Persons Over 16,Unemployed Persons Over 16
Alameda,70821.0,1494876.0,36.4,34937.0,173156.0,792734.0,401593.0
Alpine,59018.0,1167.0,40.4,29576.0,170.0,581.0,351.0
Amador,56180.0,38244.0,48.0,28030.0,3372.0,15650.0,17192.0
Butte,42971.0,219309.0,37.2,23431.0,42283.0,101633.0,77585.0
Calaveras,55256.0,45794.0,49.0,28667.0,3751.0,20270.0,17987.0
Colusa,49558.0,21297.0,33.5,21271.0,3029.0,10283.0,5348.0
Contra Costa,79135.0,1037817.0,38.3,38141.0,101562.0,534819.0,275053.0
Del Norte,37588.0,28561.0,38.9,19247.0,5313.0,10375.0,12614.0
El Dorado,68815.0,179878.0,43.1,34385.0,15010.0,92466.0,51492.0
Fresno,46903.0,920623.0,30.6,20638.0,211140.0,421989.0,255721.0
Glenn,43239.0,28027.0,35.3,21254.0,5166.0,12348.0,8810.0
Humboldt,40376.0,133585.0,37.3,24209.0,23833.0,66048.0,44019.0
Imperial,39402.0,171343.0,31.8,16593.0,37463.0,69690.0,57347.0
Inyo,49571.0,18457.0,45.1,27532.0,2127.0,9401.0,5612.0
Kern,48021.0,829254.0,30.6,20167.0,169635.0,360445.0,246501.0
Kings,48838.0,152335.0,31.0,18296.0,26042.0,65763.0,48917.0
Lake,39525.0,64392.0,44.3,22238.0,13543.0,28321.0,23876.0
Lassen,52484.0,35001.0,37.0,19339.0,3562.0,11635.0,17976.0
Los Angeles,56266.0,9787747.0,34.6,27954.0,1566066.0,4996242.0,2667242.0
Madera,47724.0,149611.0,33.2,18817.0,27777.0,59555.0,52459.0
Marin,89605.0,250666.0,44.3,54605.0,17502.0,133482.0,71192.0
Mariposa,49174.0,18290.0,48.4,27209.0,2611.0,8754.0,6649.0
Mendocino,44527.0,87525.0,41.4,23585.0,15298.0,43750.0,26477.0
Merced,43945.0,253606.0,29.5,18304.0,57461.0,111072.0,71235.0
Modoc,35402.0,9587.0,46.5,20769.0,1816.0,3942.0,3805.0
Mono,60469.0,14016.0,36.5,28789.0,1554.0,8855.0,2424.0
Monterey,59737.0,411385.0,32.8,25508.0,59315.0,202571.0,111189.0
Napa,68641.0,135377.0,39.5,35309.0,12906.0,70689.0,37214.0
Nevada,58077.0,98392.0,47.3,31607.0,10072.0,48812.0,33069.0
Orange,75762.0,2989948.0,36.0,34416.0,320473.0,1574209.0,769559.0
Placer,74645.0,343554.0,40.0,35583.0,24576.0,172232.0,97360.0
Plumas,44151.0,20192.0,49.0,28104.0,2680.0,9272.0,7592.0
Riverside,58365.0,2154844.0,33.5,24516.0,301763.0,1001772.0,610872.0
Sacramento,56553.0,1408480.0,34.7,27180.0,205715.0,705306.0,383088.0
San Benito,65570.0,54873.0,33.9,26300.0,6179.0,28061.0,12665.0
San Bernardino,55853.0,2023452.0,31.4,21932.0,317059.0,949657.0,550919.0
San Diego,63857.0,3060849.0,34.6,30955.0,387565.0,1595751.0,830643.0
San Francisco,72947.0,797983.0,38.4,46777.0,96801.0,484137.0,218389.0
San Joaquin,53764.0,680277.0,32.5,22857.0,110748.0,314769.0,188829.0
San Luis Obispo,58630.0,267871.0,39.1,30204.0,33330.0,132969.0,90858.0
San Mateo,87633.0,711622.0,39.2,45346.0,48891.0,391664.0,179122.0
Santa Barbara,61896.0,419793.0,33.4,30330.0,57170.0,215436.0,119738.0
Santa Clara,89064.0,1762754.0,36.0,40698.0,160396.0,931510.0,451574.0
Santa Cruz,66030.0,259402.0,36.7,32975.0,34382.0,139712.0,71564.0
Shasta,44058.0,177231.0,41.6,23691.0,30023.0,79497.0,62743.0
Sierra,50308.0,3277.0,51.5,26137.0,540.0,1465.0,1341.0
Siskiyou,37865.0,44687.0,46.9,22335.0,8085.0,19576.0,16980.0
Solano,69914.0,411620.0,36.7,29367.0,42525.0,210594.0,111698.0
Sonoma,64343.0,478551.0,39.7,33119.0,50592.0,255738.0,129918.0
Stanislaus,50671.0,512469.0,32.6,21820.0,91291.0,240373.0,141746.0
Sutter,50010.0,94192.0,34.4,22464.0,14125.0,44792.0,26591.0
Tehama,38753.0,62985.0,39.4,20689.0,12796.0,26626.0,22270.0
Trinity,37672.0,13711.0,49.3,22551.0,2366.0,5699.0,5805.0
Tulare,43550.0,436234.0,29.5,17986.0,102165.0,193878.0,116099.0
Tuolumne,47359.0,55736.0,47.2,26084.0,6850.0,23645.0,23390.0
Ventura,76728.0,815745.0,36.2,32740.0,79964.0,423711.0,207174.0
Yolo,57920.0,198889.0,30.1,28631.0,35674.0,102047.0,57511.0
Yuba,46617.0,71817.0,31.7,20046.0,14222.0,32376.0,20766.0
